age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
47.0,4.0,210495.9,15.0,9.0,0.0,7.0,4.0,4.0,0.0,65.9,0.4,37.2,38.0,0.0
46.9,4.0,267970.2,15.0,9.9,2.0,6.0,0.0,4.0,1.0,163.5,0.4,52.5,38.0,0.0
19.9,4.0,199113.5,15.0,10.0,4.0,11.0,3.0,4.0,0.0,0.0,2.5,16.2,38.0,0.0
21.4,4.0,143013.0,15.0,9.0,4.0,0.0,3.0,4.0,1.0,39.5,0.0,50.1,38.0,0.0
22.2,4.0,240603.6,15.0,9.2,4.0,5.0,1.0,4.0,1.0,147.2,0.0,42.2,38.0,0.0
36.1,4.0,306041.3,15.0,5.8,0.0,1.0,1.0,4.0,0.0,0.0,27.5,39.6,38.0,0.0
42.6,0.0,329789.8,15.0,14.0,2.0,1.0,0.0,4.0,1.0,733.2,0.0,38.0,38.0,0.0
21.6,4.0,128577.4,15.0,9.0,4.0,11.0,3.0,4.0,0.0,44.7,1.0,28.6,38.0,0.0
22.7,4.0,208198.6,15.0,10.0,4.0,1.0,1.0,4.0,0.0,58.2,1.4,32.0,38.0,0.0
39.8,4.0,214730.1,15.0,9.0,2.0,0.0,0.0,4.0,1.0,191.6,0.6,41.2,38.0,0.0
37.3,4.0,212255.3,15.0,9.0,0.0,0.0,4.0,4.0,1.0,81.5,1.4,40.4,38.0,0.0
59.7,4.0,159293.3,15.0,10.8,2.0,2.0,0.0,4.0,1.0,270.7,0.0,40.6,38.0,0.0
60.4,0.0,150739.3,15.0,10.0,2.0,3.0,0.0,4.0,1.0,8893.1,1.3,41.2,38.0,1.0
38.9,4.0,147084.2,11.0,9.0,2.0,2.0,0.0,4.0,1.0,21.9,0.0,37.4,0.0,0.0
33.1,4.0,258772.7,15.0,10.0,4.0,11.0,1.0,4.0,1.0,13.0,0.0,49.7,38.0,0.0
33.1,4.0,327035.1,15.0,9.0,0.0,1.0,1.0,4.0,0.0,373.0,0.0,32.0,38.0,0.0
35.3,6.0,120652.5,15.0,7.0,6.0,13.0,3.0,4.0,1.0,0.0,0.0,36.7,38.0,0.0
38.5,0.0,72823.4,15.0,13.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,41.0,38.0,0.0
30.6,4.0,191121.1,15.0,7.5,2.0,1.0,0.0,4.0,1.0,210.1,0.0,38.8,38.0,0.0
35.7,4.0,144859.5,15.0,9.0,2.0,2.0,0.0,4.0,1.0,1639.9,0.0,43.6,38.0,1.0
