age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
29,4,373011,12,14,4,3,1,4,0,0,0,45,38,0
31,4,145015,11,9,0,2,4,4,1,0,0,45,38,1
25,7,272851,15,10,4,11,1,4,0,0,0,69,38,0
17,4,41679,0,6,4,5,1,4,1,0,0,32,38,0
46,4,115114,9,13,2,7,0,4,1,0,0,52,38,1
43,4,260533,15,10,0,2,4,2,0,0,0,45,38,0
32,4,82458,2,8,2,4,0,4,1,0,0,60,38,0
39,4,237177,15,10,2,7,0,4,1,0,0,40,38,1
22,6,42484,11,9,4,7,3,4,0,0,0,5,38,0
59,4,145102,1,7,3,7,4,4,0,0,0,30,23,0
53,6,93346,11,9,2,11,0,4,0,0,0,25,38,0
49,4,406399,9,13,0,9,1,4,0,0,0,40,38,0
86,4,313120,15,10,0,11,4,4,0,0,0,60,38,1
26,7,188466,11,9,2,6,0,4,1,0,0,54,38,0
29,4,195752,11,9,2,13,0,4,1,0,0,45,38,0
60,4,249926,3,9,0,6,1,2,0,0,0,35,38,0
62,2,197820,0,6,2,5,0,4,1,0,0,28,38,0
21,5,144634,15,10,4,3,3,4,1,0,0,38,38,0
36,4,204587,11,9,0,2,4,4,0,0,0,30,38,0
39,4,179727,15,10,2,6,0,4,1,0,0,40,11,0
29,7,188778,11,9,4,4,3,2,0,0,0,20,38,0
27,4,398772,11,9,4,5,2,4,1,0,0,45,38,0
42,4,263202,12,14,4,9,1,4,1,0,0,50,38,1
60,4,225928,15,10,2,4,5,4,0,0,0,29,38,1
48,6,203177,12,14,2,3,0,4,1,0,0,65,38,0
49,4,73996,11,9,0,11,4,4,0,0,0,40,38,0
23,4,238056,15,10,3,11,3,4,1,2728,0,20,38,0
43,4,136290,11,9,4,1,1,4,1,0,1650,45,38,0
37,6,154818,14,15,2,2,0,4,1,0,0,50,38,1
40,4,115538,15,10,0,6,1,4,1,0,0,30,38,0
43,4,125496,15,10,2,1,0,4,1,4455,0,40,38,1
27,4,390402,11,9,4,13,1,4,1,0,0,25,38,0
23,7,33757,11,9,2,1,0,4,1,0,0,52,38,0
22,4,172114,9,13,2,11,5,4,0,20778,0,52,38,1
22,5,47031,15,10,4,3,3,4,0,0,0,50,38,0
27,4,115419,15,10,4,13,2,4,1,0,0,40,38,0
40,4,183349,11,9,5,2,1,2,1,0,0,40,38,0
53,4,195901,9,13,2,11,0,4,1,0,0,40,38,1
50,4,403593,10,16,2,9,0,4,1,0,0,45,0,1
21,4,133914,15,10,4,13,3,4,1,0,0,40,38,0
35,4,301946,11,9,5,7,1,2,0,0,0,30,20,0
33,4,107992,9,13,2,5,0,4,1,0,0,50,38,0
35,0,590755,7,12,4,0,4,4,1,8366,0,60,38,0
17,4,213758,11,9,4,7,2,4,1,0,0,40,38,0
24,4,86547,2,8,2,4,0,4,1,0,0,50,38,0
23,4,106213,9,13,4,9,1,4,1,0,0,40,38,0
50,6,21821,9,13,2,7,0,4,1,0,0,40,38,1
44,5,95742,9,13,2,11,0,4,1,0,0,65,38,1
26,4,118747,8,9,2,2,0,4,1,0,0,30,38,0
45,4,143445,9,13,2,3,0,4,1,0,0,30,38,1
38,4,54433,11,9,0,7,3,2,1,0,0,40,38,0
25,4,194441,9,13,2,11,0,4,1,0,0,30,38,0
64,4,390996,11,9,2,2,0,4,1,3337,0,50,38,1
29,4,190976,15,10,5,3,1,4,0,0,0,50,38,0
52,4,222091,9,13,6,9,4,4,0,0,0,30,38,0
59,6,161292,9,14,2,3,0,4,1,0,0,45,38,0
27,4,191702,14,15,4,9,1,4,1,0,0,50,38,0
30,4,107891,15,10,0,13,1,4,1,0,0,40,38,0
41,4,147557,11,9,0,2,4,4,1,0,0,50,38,0
32,4,174965,11,9,2,6,5,4,0,6903,0,40,38,1
24,4,276564,15,10,4,8,1,4,0,0,0,12,38,0
56,2,191946,11,9,2,7,0,4,1,0,0,40,38,1
55,4,138768,11,9,3,6,4,4,0,0,0,15,38,0
32,4,150002,15,10,2,1,0,4,1,0,0,40,38,1
41,4,236503,0,6,4,6,4,4,1,1162,0,40,38,0
29,2,279125,11,9,2,12,0,4,1,0,0,40,38,0
51,4,61797,4,3,2,7,0,4,1,0,0,40,25,0
24,2,44644,9,13,4,3,1,1,0,0,0,65,27,0
26,4,122735,12,14,0,9,1,4,0,0,0,54,38,0
42,4,268016,15,10,0,13,3,4,1,0,0,45,38,0
28,4,52401,8,11,2,2,0,4,1,0,0,40,38,0
45,2,294062,15,10,0,1,1,4,0,0,0,16,38,0
60,6,376809,11,9,3,3,3,4,1,0,0,40,38,0
38,4,232511,9,13,4,3,1,4,0,0,0,55,38,1
32,4,183481,0,6,0,13,1,2,0,14391,0,60,38,0
30,4,216889,11,9,2,7,5,4,0,0,0,30,38,1
19,4,215745,15,10,4,1,3,4,0,0,0,20,38,0
33,4,77965,15,10,0,11,4,4,1,0,0,40,38,0
66,4,112598,14,15,2,9,0,4,1,99999,0,30,38,1
44,4,144381,9,13,2,11,0,4,1,0,0,35,38,1
61,4,121707,2,8,2,7,0,4,1,0,0,40,38,0
62,4,137909,15,10,2,11,0,4,1,0,0,60,38,0
