age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
18,4,274057,1,7,4,7,3,2,1,0,0,8,38,0
24,2,161092,11,9,4,7,3,4,1,0,0,40,38,0
50,1,176969,11,9,0,9,1,4,1,0,1590,40,38,0
39,4,147548,11,9,2,2,0,4,1,0,0,40,38,0
23,4,27776,8,11,4,6,1,4,1,0,0,40,38,0
21,4,187513,8,11,4,2,4,4,1,0,0,40,38,0
38,6,267556,11,9,2,11,0,4,1,0,0,64,38,0
76,0,79445,0,6,2,0,0,4,1,1173,0,40,38,0
58,7,279878,12,14,2,3,0,4,1,0,0,40,38,1
45,4,183786,11,9,0,7,4,4,0,0,0,35,38,0
38,4,112561,9,13,2,3,0,4,1,0,0,55,38,1
38,4,81965,8,11,4,12,1,4,0,0,0,40,38,0
53,4,233369,15,10,6,3,4,4,0,0,0,40,38,0
56,6,78090,15,10,0,11,4,4,0,0,0,48,38,0
57,4,140426,3,2,3,7,1,4,1,0,0,35,0,0
17,4,245918,1,7,4,7,3,4,1,0,0,12,38,0
52,4,347519,9,13,2,3,0,4,1,0,0,55,38,1
35,4,187711,11,9,4,6,1,4,1,0,0,40,38,0
50,4,147629,12,14,2,9,0,4,1,15024,0,45,38,1
43,4,159549,15,10,2,11,0,4,1,0,0,50,38,1
45,4,176917,11,9,4,5,2,4,1,0,0,40,38,0
48,5,481987,0,6,2,3,0,4,1,0,0,40,38,0
22,4,236684,8,11,4,7,3,2,0,0,0,36,38,0
27,4,491421,4,3,4,4,4,4,1,0,0,50,38,0
58,6,54566,15,10,2,4,0,4,1,0,0,35,38,0
37,4,148143,11,9,4,6,4,2,0,0,0,40,38,0
37,4,217838,4,3,5,7,4,4,0,0,0,40,25,0
39,4,32146,12,14,4,9,1,4,1,0,0,60,38,0
35,4,109351,9,13,4,11,1,4,0,8614,0,45,38,1
44,7,59460,11,9,2,7,5,4,0,0,0,15,38,0
38,4,32271,15,10,2,2,0,4,1,0,0,40,38,0
33,4,62155,15,10,4,11,1,2,1,0,0,35,38,0
35,6,191503,15,10,2,11,0,4,1,0,0,50,38,0
33,4,110978,15,10,0,2,2,3,0,0,0,40,38,0
34,4,113530,9,13,2,3,0,4,1,0,0,40,38,0
32,4,168443,12,14,2,3,5,4,0,0,0,40,38,0
17,0,34088,2,8,4,0,3,4,0,0,0,25,38,0
38,4,146178,11,9,4,2,4,2,0,0,0,40,38,0
51,2,117496,12,14,2,9,5,4,0,0,0,40,38,1
40,4,144928,15,10,0,2,1,4,1,0,0,40,38,0
19,4,205829,11,9,4,11,3,4,0,0,0,35,38,0
34,4,57426,9,13,4,11,1,4,1,0,0,45,38,0
21,4,538319,15,10,4,7,3,4,0,0,0,40,32,0
65,7,215908,11,9,2,1,0,4,1,0,2174,40,38,1
45,4,281565,11,9,6,7,2,1,0,0,0,50,34,0
24,4,230229,4,3,4,6,2,4,1,0,0,40,25,0
40,4,180032,12,14,4,9,1,4,0,0,1669,40,38,0
47,4,328216,15,10,2,12,0,4,1,7298,0,40,38,1
30,4,131588,11,9,4,2,1,2,0,0,0,45,38,0
40,4,150528,9,13,2,1,0,4,1,0,0,40,38,0
43,4,124919,11,9,2,7,0,1,1,0,0,60,23,0
31,0,259120,15,10,2,0,5,4,0,0,0,10,38,0
53,6,145419,3,2,2,3,0,4,1,7688,0,67,21,1
46,7,273771,11,9,2,12,0,4,1,0,0,40,38,0
28,4,55360,15,10,4,2,1,2,1,0,0,40,38,0
24,4,247564,11,9,4,2,1,4,1,0,0,40,38,0
28,0,169631,7,12,1,0,5,4,0,0,0,3,38,0
31,7,286911,15,10,2,1,0,4,1,0,0,38,38,0
42,2,194417,15,10,2,10,0,4,1,0,0,40,38,1
36,4,201519,9,13,2,3,5,4,0,0,0,40,38,1
27,4,90692,8,11,4,7,1,1,0,0,0,40,29,0
35,4,182467,8,11,2,2,5,4,0,0,0,44,38,0
55,6,422249,11,9,2,2,0,4,1,0,0,50,38,0
20,4,164219,11,9,4,5,3,4,1,0,0,45,38,0
33,4,170336,11,9,2,1,5,3,0,0,0,19,38,0
32,4,199963,1,7,2,6,5,4,0,0,0,40,38,0
60,4,166330,11,9,2,7,5,4,0,99999,0,40,38,1
28,4,315287,15,10,4,9,1,2,1,0,0,40,38,0
43,4,64631,11,9,2,2,0,4,1,0,0,40,38,0
34,6,320194,14,15,5,9,4,4,1,0,0,48,38,1
54,4,420691,3,2,2,7,0,4,1,0,0,40,25,0
28,4,142764,11,9,4,6,1,4,1,0,0,48,38,0
29,4,134152,11,9,5,6,1,4,1,0,0,40,38,0
52,5,334273,10,16,2,9,0,4,1,99999,0,65,38,1
37,4,188576,10,16,2,9,0,1,1,0,0,40,0,0
33,2,251521,9,13,4,3,1,4,0,0,0,50,38,0
21,0,163911,15,10,4,0,3,4,0,0,0,3,38,0
35,6,170174,11,9,2,2,0,4,1,7298,0,60,38,1
63,4,66634,6,5,2,2,0,4,1,0,0,16,38,0
35,4,218955,9,13,2,11,0,4,1,0,0,40,38,0
49,4,136455,9,13,4,9,1,4,0,0,0,45,38,0
28,5,153291,11,9,4,1,3,4,0,0,0,35,38,0
61,0,135285,11,9,2,0,0,4,1,0,2603,32,38,0
51,6,276456,7,12,2,11,0,4,1,3103,0,30,38,1
35,4,374524,14,15,2,9,0,4,1,0,0,75,38,1
34,4,89644,15,10,2,11,0,4,1,0,0,55,38,1
27,4,386036,15,10,4,13,1,4,1,0,0,48,38,0
55,4,181220,11,9,2,3,0,4,1,0,0,50,38,0
49,6,56841,9,13,2,4,0,4,1,0,0,70,38,0
32,2,206609,11,9,4,7,3,4,1,0,0,40,38,0
22,0,376277,15,10,0,0,1,4,0,0,0,35,38,0
42,4,118652,7,12,2,12,0,4,1,0,0,40,38,0
20,4,444554,0,6,4,5,3,4,1,0,0,40,38,0
23,4,181820,15,10,4,5,3,4,1,0,0,20,38,0
20,4,282579,15,10,4,7,1,4,1,0,0,40,38,0
43,4,112763,11,9,4,1,4,4,0,8614,0,43,38,1
48,4,20296,11,9,0,1,1,4,0,0,0,37,38,1
23,4,190290,9,13,4,9,3,4,1,0,0,40,38,0
