age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
48,4,281576,9,13,2,4,0,4,1,0,0,30,38,0
39,4,392343,11,9,4,7,3,4,0,0,0,40,25,0
46,4,369430,12,14,4,9,1,4,1,0,2217,42,38,1
24,0,128932,15,10,4,0,3,4,1,0,0,40,25,0
32,4,84224,14,15,2,9,0,4,1,99999,0,40,38,1
19,4,169882,11,9,4,7,3,4,0,0,0,40,38,0
36,6,239177,9,13,2,9,0,4,1,0,0,40,38,1
30,4,365038,11,9,2,1,0,4,1,5195,0,46,38,0
56,4,187255,11,9,0,6,4,2,0,0,0,33,38,0
20,4,247745,11,9,4,2,3,1,1,0,0,40,19,0
22,4,206389,15,10,4,4,1,4,1,0,0,40,38,0
47,4,310479,11,9,2,6,0,2,1,0,0,40,38,1
75,4,242148,11,9,2,11,0,1,1,0,0,98,38,0
86,4,140481,8,11,4,1,1,4,1,0,0,40,38,0
31,2,156660,15,10,2,13,0,4,1,0,0,40,38,0
23,4,20652,15,10,5,5,3,4,0,0,0,18,38,0
44,4,210185,9,13,2,2,0,4,1,0,1912,40,38,1
42,4,231371,11,9,6,5,1,4,1,0,0,28,38,0
46,2,35332,12,14,0,9,1,4,0,0,0,40,38,0
49,4,291545,11,9,2,6,0,4,1,0,0,55,38,0
28,4,129828,11,9,2,7,5,4,0,0,0,40,38,1
44,7,290879,15,10,2,4,0,4,1,0,1897,45,30,1
36,7,232065,12,14,2,3,0,1,1,7426,0,50,38,1
33,4,209546,8,11,2,2,0,4,1,0,0,50,38,0
33,4,118949,11,9,3,2,3,4,1,0,0,40,5,0
20,6,26327,11,9,4,4,1,4,1,0,0,40,38,0
40,4,115218,11,9,2,1,0,4,1,0,0,40,38,1
25,4,211729,11,9,0,12,1,4,0,0,0,30,38,0
54,4,202274,11,9,4,13,3,4,1,1170,0,35,38,0
37,4,32587,11,9,2,9,0,4,1,0,0,44,38,0
61,6,107839,11,9,2,5,0,4,1,0,0,40,38,0
24,4,210095,15,10,4,10,2,4,0,0,0,45,38,0
